"","Name","Age","Boarded","Position","Lifeboat","Body","Sex","Class","Group","Survived","ID","Adult"
"36","Miss Ellen Bird",31,"S","maid","8",NA,"f",1,"1classServ",TRUE,36,TRUE
"37","Miss Margaret Fleming",42,"C","maid","4",NA,"f",1,"1classServ",TRUE,37,TRUE
"38","Miss Amelia Mayo ""Nellie"" Bessette",39,"C","maid","8",NA,"f",1,"1classServ",TRUE,38,TRUE
"39","Mr. Sante Righini",22,"C","manservant",NA,"232MB","m",1,"1classServ",FALSE,39,TRUE
"40","Mr. Edwin Herbert Keeping",33,"S","valet",NA,"45MB","m",1,"1classServ",FALSE,40,TRUE
"41","Miss Amalie Henriette ""Emily"" Gieger",35,"S","maid","4",NA,"f",1,"1classServ",TRUE,41,TRUE
"42","Allen, Miss Elizabeth Walton",29,"S","1classPass","2",NA,"f",1,"1c0ser",TRUE,42,TRUE
"43","Allison, Miss Helen Loraine",2,"S","1classPass",NA,NA,"f",1,"1c0ser",FALSE,43,FALSE
"44","Anderson, Mr. Harry",47,"S","1classPass","3",NA,"m",1,"1c0ser",TRUE,44,TRUE
"45","Andrews, Miss Kornelia Theodosia",62,"C","1classPass","10",NA,"f",1,"1c0ser",TRUE,45,TRUE
"46","Andrews, Mr. Thomas",39,"B","1classPass",NA,NA,"m",1,"1c0ser",FALSE,46,TRUE
"47","Appleton, Mrs. Charlotte Lane (née Lamson)",53,"S","1classPass","2",NA,"f",1,"1c0ser",TRUE,47,TRUE
"48","Artagaveytia, Mr. Ramon",71,"C","1classPass",NA,"22MB","m",1,"1c0ser",FALSE,48,TRUE
"49","Astor, Colonel John Jacob IV",47,"C","1classPass",NA,"124MB","m",1,"1c0ser",FALSE,49,TRUE
"50","Barkworth, Mr. Algernon Henry Wilson",47,"S","1classPass","B",NA,"m",1,"1c0ser",TRUE,50,TRUE
"51","Baumann, Mr. John D.",60,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,51,TRUE
"52","Baxter, Mrs. Hélène (née de Lanaudière-Chaput)",50,"C","1classPass","6",NA,"f",1,"1c0ser",TRUE,52,TRUE
"53","Baxter, Mr. Quigg Edmond",24,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,53,TRUE
"54","Beattie, Mr. Thomson",36,"S","1classPass","A","331O","m",1,"1c0ser",TRUE,54,TRUE
"55","Beckwith, Mr. Richard Leonard",37,"S","1classPass","5",NA,"m",1,"1c0ser",TRUE,55,TRUE
"56","Beckwith, Mrs. Sallie (née Monypeny)",46,"S","1classPass","5",NA,"f",1,"1c0ser",TRUE,56,TRUE
"57","Behr, Mr. Karl Howell",26,"C","1classPass","5",NA,"m",1,"1c0ser",TRUE,57,TRUE
"58","Birnbaum, Mr. Jakob",24,"C","1classPass",NA,"148MB","m",1,"1c0ser",FALSE,58,TRUE
"59","Bishop, Mr. Dickinson H. ""Dick""",25,"C","1classPass","7",NA,"m",1,"1c0ser",TRUE,59,TRUE
"60","Bishop, Mrs. Helen (née Walton)",19,"C","1classPass","7",NA,"f",1,"1c0ser",TRUE,60,TRUE
"61","Björnström-Steffansson, Mr. Mauritz Håkan",28,"S","1classPass","D",NA,"m",1,"1c0ser",TRUE,61,TRUE
"62","Blackwell, Mr. Stephen Weart",45,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,62,TRUE
"63","Blank, Mr. Henry",39,"C","1classPass","7",NA,"m",1,"1c0ser",TRUE,63,TRUE
"64","Bonnell, Miss Elizabeth",61,"S","1classPass","8",NA,"f",1,"1c0ser",TRUE,64,TRUE
"65","Bonnell, Miss Caroline",30,"S","1classPass","8",NA,"f",1,"1c0ser",TRUE,65,TRUE
"66","Borebank, Mr. John James",42,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,66,TRUE
"67","Bowerman, Miss Elsie Edith",22,"S","1classPass","6",NA,"f",1,"1c0ser",TRUE,67,TRUE
"68","Brady, Mr. John Bertram",41,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,68,TRUE
"69","Brandeis, Mr. Emil",48,"C","1classPass",NA,"208MB","m",1,"1c0ser",FALSE,69,TRUE
"70","Brereton, Mr. George Andrew (alias George A. Brayton)",37,"S","1classPass","9",NA,"m",1,"1c0ser",TRUE,70,TRUE
"71","Brewe, Dr. Arthur Jackson",45,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,71,TRUE
"72","Brown, Mrs. Caroline Lane (née Lamson)",59,"S","1classPass","D",NA,"f",1,"1c0ser",TRUE,72,TRUE
"73","Brown, Mrs. Margaret (née Tobin)",44,"C","1classPass","6",NA,"f",1,"1c0ser",TRUE,73,TRUE
"74","Butt, Major Archibald Willingham",46,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,74,TRUE
"75","Calderhead, Mr. Edward Pennington",42,"S","1classPass","5",NA,"m",1,"1c0ser",TRUE,75,TRUE
"76","Candee, Mrs. Helen Churchill (née Hungerford)",53,"C","1classPass","6",NA,"f",1,"1c0ser",TRUE,76,TRUE
"77","Carlsson, Mr. Frans Olof",33,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,77,TRUE
"78","Carrau, Mr. Francisco M.",31,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,78,TRUE
"79","Carrau, Mr. José Pedro",17,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,79,TRUE
"80","Carter, Miss Lucile Polk",13,"S","1classPass","4",NA,"f",1,"1c0ser",TRUE,80,FALSE
"81","Carter, Master William Thornton II",11,"S","1classPass","4",NA,"m",1,"1c0ser",TRUE,81,FALSE
"82","Case, Mr. Howard Brown",49,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,82,TRUE
"83","Cassebeer, Mrs. Eleanor Genevieve (née Fosdick)",36,"C","1classPass","5",NA,"f",1,"1c0ser",TRUE,83,TRUE
"84","Cavendish, Mr. Tyrell William",36,"S","1classPass",NA,"172MB","m",1,"1c0ser",FALSE,84,TRUE
"85","Chaffee, Mr. Herbert Fuller",46,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,85,TRUE
"86","Chaffee, Mrs. Carrie Constance (née Toogood)",47,"S","1classPass","4",NA,"f",1,"1c0ser",TRUE,86,TRUE
"87","Chambers, Mr. Norman Campbell",27,"S","1classPass","5",NA,"m",1,"1c0ser",TRUE,87,TRUE
"88","Chambers, Mrs. Bertha (née Griggs)",32,"S","1classPass","5",NA,"f",1,"1c0ser",TRUE,88,TRUE
"89","Cherry, Miss Gladys",30,"S","1classPass","8",NA,"f",1,"1c0ser",TRUE,89,TRUE
"90","Chevré, Mr. Paul Romaine Marie Léonce",45,"C","1classPass","7",NA,"m",1,"1c0ser",TRUE,90,TRUE
"91","Chibnall, Mrs. Edith Martha Bowerman (née Barber)",48,"S","1classPass","6",NA,"f",1,"1c0ser",TRUE,91,TRUE
"92","Chisholm, Mr. Roderick Robert Crispin",40,"B","1classPass",NA,NA,"m",1,"1c0ser",FALSE,92,TRUE
"93","Clark, Mr. Walter Miller",27,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,93,TRUE
"94","Clark, Mrs. Virginia Estelle (née McDowell)",26,"C","1classPass","4",NA,"f",1,"1c0ser",TRUE,94,TRUE
"95","Clifford, Mr. George Quincy",40,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,95,TRUE
"96","Colley, Mr. Edward Pomeroy",37,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,96,TRUE
"97","Compton, Mrs. Mary Eliza (née Ingersoll)",64,"C","1classPass","14",NA,"f",1,"1c0ser",TRUE,97,TRUE
"98","Compton, Miss Sara Rebecca",39,"C","1classPass","14",NA,"f",1,"1c0ser",TRUE,98,TRUE
"99","Compton, Mr. Alexander Taylor Jr.",37,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,99,TRUE
"100","Cornell, Mrs. Malvina Helen (née Lamson)",55,"S","1classPass","2",NA,"f",1,"1c0ser",TRUE,100,TRUE
"101","Crafton, Mr. John Bertram",59,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,101,TRUE
"102","Crosby, Captain Edward",70,"S","1classPass",NA,"269MB","m",1,"1c0ser",FALSE,102,TRUE
"103","Crosby, Mrs. Catherine Elizabeth (née Halstead)",64,"S","1classPass","7",NA,"f",1,"1c0ser",TRUE,103,TRUE
"104","Crosby, Miss Harriette Rebecca",39,"S","1classPass","8",NA,"f",1,"1c0ser",TRUE,104,TRUE
"105","Cumings, Mr. John Bradley",39,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,105,TRUE
"106","Cumings, Mrs. Florence Briggs (née Thayer)",35,"C","1classPass","4",NA,"f",1,"1c0ser",TRUE,106,TRUE
"107","Daly, Mr. Peter Dennis",51,"S","1classPass","A",NA,"m",1,"1c0ser",TRUE,107,TRUE
"108","Daniel, Mr. Robert Williams",27,"S","1classPass","3",NA,"m",1,"1c0ser",TRUE,108,TRUE
"109","Davidson, Mr. Thornton",31,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,109,TRUE
"110","Davidson, Mrs. Orian (née Hays)",27,"S","1classPass","3",NA,"f",1,"1c0ser",TRUE,110,TRUE
"111","Dick, Mr. Albert Adrian",31,"S","1classPass","3",NA,"m",1,"1c0ser",TRUE,111,TRUE
"112","Dick, Mrs. Vera (née Gillespie)",17,"S","1classPass","3",NA,"f",1,"1c0ser",TRUE,112,TRUE
"113","Dodge, Dr. Washington",52,"S","1classPass","13",NA,"m",1,"1c0ser",TRUE,113,TRUE
"114","Dodge, Mrs. Ruth (née Vidaver)",34,"S","1classPass","5",NA,"f",1,"1c0ser",TRUE,114,TRUE
"115","Dodge, Master Washington, Jr.",4,"S","1classPass","5",NA,"m",1,"1c0ser",TRUE,115,FALSE
"116","Douglas, Mr. Walter Donald",50,"C","1classPass",NA,"62MB","m",1,"1c0ser",FALSE,116,TRUE
"117","Douglas, Mrs. Mary Hélène (née Baxter)",27,"C","1classPass","6",NA,"f",1,"1c0ser",TRUE,117,TRUE
"118","Duff Gordon, Sir Cosmo Edmund",49,"C","1classPass","1",NA,"m",1,"1c0ser",TRUE,118,TRUE
"119","Dulles, Mr. William Crothers",39,"C","1classPass",NA,"133MB","m",1,"1c0ser",FALSE,119,TRUE
"120","Eustis, Miss Elizabeth Mussey",54,"C","1classPass","4",NA,"f",1,"1c0ser",TRUE,120,TRUE
"121","Evans, Miss Edith Corse",36,"C","1classPass",NA,NA,"f",1,"1c0ser",FALSE,121,TRUE
"122","Flegenheim, Mrs. Antoinette (née Wendt)",48,"C","1classPass","7",NA,"f",1,"1c0ser",TRUE,122,TRUE
"123","Flynn, Mr. John Irwin",36,"S","1classPass","5",NA,"m",1,"1c0ser",TRUE,123,TRUE
"124","Foreman, Mr. Benjamin Laventall",30,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,124,TRUE
"125","Fortune, Mr. Mark",64,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,125,TRUE
"126","Fortune, Mrs. Mary (née McDougald)",60,"S","1classPass","10",NA,"f",1,"1c0ser",TRUE,126,TRUE
"127","Fortune, Miss Ethel Flora",28,"S","1classPass","10",NA,"f",1,"1c0ser",TRUE,127,TRUE
"128","Fortune, Miss Alice Elizabeth",24,"S","1classPass","10",NA,"f",1,"1c0ser",TRUE,128,TRUE
"129","Fortune, Miss Mabel Helen",23,"S","1classPass","10",NA,"f",1,"1c0ser",TRUE,129,TRUE
"130","Fortune, Mr. Charles Alexander",19,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,130,TRUE
"131","Franklin, Mr. Thomas Parnham",37,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,131,TRUE
"132","Frauenthal, Dr. Henry William",49,"S","1classPass","5",NA,"m",1,"1c0ser",TRUE,132,TRUE
"133","Frauenthal, Mrs. Clara (née Heinsheimer)",42,"S","1classPass","5",NA,"f",1,"1c0ser",TRUE,133,TRUE
"134","Frauenthal, Mr. Isaac Gerald",43,"S","1classPass","5",NA,"m",1,"1c0ser",TRUE,134,TRUE
"135","Frölicher, Mr. Maximilian Josef",60,"C","1classPass","5",NA,"m",1,"1c0ser",TRUE,135,TRUE
"136","Frölicher, Mrs. Margaretha Emerentia (née Stehli)",48,"C","1classPass","5",NA,"f",1,"1c0ser",TRUE,136,TRUE
"137","Frölicher-Stehli, Miss Hedwig Margaritha",22,"C","1classPass","5",NA,"f",1,"1c0ser",TRUE,137,TRUE
"138","Futrelle, Mr. Jacques Heath",37,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,138,TRUE
"139","Futrelle, Mrs. Lily May (née Peel)",35,"S","1classPass","D",NA,"f",1,"1c0ser",TRUE,139,TRUE
"140","Gee, Mr. Arthur H.",47,"S","1classPass",NA,"275MB","m",1,"1c0ser",FALSE,140,TRUE
"141","Gibson, Mrs. Pauline Caroline (née Boeson)",44,"C","1classPass",NA,NA,"f",1,"1c0ser",FALSE,141,TRUE
"142","Gibson, Miss Dorothy Winifred",22,"C","1classPass","7",NA,"f",1,"1c0ser",TRUE,142,TRUE
"143","Goldenberg, Mr. Samuel L.",47,"C","1classPass","5",NA,"m",1,"1c0ser",TRUE,143,TRUE
"144","Goldenberg, Mrs. Nella (née Wiggins)",40,"C","1classPass",NA,NA,"f",1,"1c0ser",FALSE,144,TRUE
"145","Goldschmidt, Mr. George B.",71,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,145,TRUE
"146","Gracie IV, Colonel Archibald",53,"S","1classPass","B",NA,"m",1,"1c0ser",TRUE,146,TRUE
"147","Graham, Mr. George Edward",38,"S","1classPass",NA,"147MB","m",1,"1c0ser",FALSE,147,TRUE
"148","Graham, Mrs. Edith Ware (née Junkins)",59,"S","1classPass","3",NA,"f",1,"1c0ser",TRUE,148,TRUE
"149","Greenfield, Mrs. Blanche (née Strouse)",45,"C","1classPass","7",NA,"f",1,"1c0ser",TRUE,149,TRUE
"150","Greenfield, Mr. William Bertram",23,"C","1classPass","7",NA,"m",1,"1c0ser",TRUE,150,TRUE
"151","Harder, Mr. George Achilles",25,"C","1classPass","5",NA,"m",1,"1c0ser",TRUE,151,TRUE
"152","Harder, Mrs. Dorothy (née Annan)",21,"C","1classPass","5",NA,"f",1,"1c0ser",TRUE,152,TRUE
"153","Harper, Mrs. Myna (née Haxtun)",49,"C","1classPass","3",NA,"f",1,"1c0ser",TRUE,153,TRUE
"154","Harris, Mr. Henry Birkhardt",45,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,154,TRUE
"155","Harris, Mrs. Irene (née Wallach)",35,"S","1classPass","D",NA,"f",1,"1c0ser",TRUE,155,TRUE
"156","Hawksford, Mr. Walter James",45,"S","1classPass","3",NA,"m",1,"1c0ser",TRUE,156,TRUE
"157","Hays, Miss Margaret Bechstein",24,"C","1classPass","7",NA,"f",1,"1c0ser",TRUE,157,TRUE
"158","Head, Mr. Christopher",42,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,158,TRUE
"159","Hilliard, Mr. Herbert Henry",44,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,159,TRUE
"160","Hipkins, Mr. William Edward",55,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,160,TRUE
"161","Hippach, Mrs. Ida Sophia (née Fischer)",44,"C","1classPass","4",NA,"f",1,"1c0ser",TRUE,161,TRUE
"162","Hippach, Miss Jean Gertrude",17,"C","1classPass","4",NA,"f",1,"1c0ser",TRUE,162,TRUE
"163","Hogeboom, Mrs. Anna Louisa (née Andrews)",51,"C","1classPass","10",NA,"f",1,"1c0ser",TRUE,163,TRUE
"164","Holverson, Mr. Alexander Oskar",42,"S","1classPass",NA,"38MB","m",1,"1c0ser",FALSE,164,TRUE
"165","Holverson, Mrs. Mary Aline (née Towner)",35,"S","1classPass","8",NA,"f",1,"1c0ser",TRUE,165,TRUE
"166","Homer, Mr. Harry (alias E. Haven)",40,"S","1classPass","15",NA,"m",1,"1c0ser",TRUE,166,TRUE
"167","Hoyt, Mr. Frederick Maxfield",35,"S","1classPass","D",NA,"m",1,"1c0ser",TRUE,167,TRUE
"168","Hoyt, Mrs. Jane Anne (née Forby)",31,"S","1classPass","D",NA,"f",1,"1c0ser",TRUE,168,TRUE
"169","Hoyt, Mr. William Fisher",42,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,169,TRUE
"170","Isham, Miss Ann Elizabeth",50,"C","1classPass",NA,NA,"f",1,"1c0ser",FALSE,170,TRUE
"171","Jones, Mr. Charles Cresson",46,"S","1classPass",NA,"80MB","m",1,"1c0ser",FALSE,171,TRUE
"172","Julian, Mr. Henry Forbes",50,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,172,TRUE
"173","Kent, Mr. Edward Austin",58,"C","1classPass",NA,"258MB","m",1,"1c0ser",FALSE,173,TRUE
"174","Kenyon, Mr. Frederick R.",41,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,174,TRUE
"175","Kenyon, Mrs. Marion (née Stauffer)",31,"S","1classPass","8",NA,"f",1,"1c0ser",TRUE,175,TRUE
"176","Kimball, Mr. Edwin Nelson Jr.",42,"S","1classPass","5",NA,"m",1,"1c0ser",TRUE,176,TRUE
"177","Kimball, Mrs. Gertrude (née Parsons)",45,"S","1classPass","5",NA,"f",1,"1c0ser",TRUE,177,TRUE
"178","Klaber, Mr. Herman",45,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,178,TRUE
"179","Lambert-Williams, Mr. Fletcher Fellows",43,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,179,TRUE
"180","Leader, Dr. Alice (née Farnham)",49,"S","1classPass","8",NA,"f",1,"1c0ser",TRUE,180,TRUE
"181","Lewy, Mr. Ervin G.",31,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,181,TRUE
"182","Lindeberg-Lind, Mr. Erik Gustav (alias Edward Lingrey)",42,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,182,TRUE
"183","Lindström, Mrs. Sigrid (née Posse)",55,"C","1classPass","6",NA,"f",1,"1c0ser",TRUE,183,TRUE
"184","Lines, Mrs. Elizabeth Lindsey (née James)",50,"C","1classPass","9",NA,"f",1,"1c0ser",TRUE,184,TRUE
"185","Lines, Miss Mary Conover",16,"C","1classPass","9",NA,"f",1,"1c0ser",TRUE,185,TRUE
"186","Long, Mr. Milton Clyde",29,"S","1classPass",NA,"126MB","m",1,"1c0ser",FALSE,186,TRUE
"187","Longley, Miss Gretchen Fiske",21,"C","1classPass","10",NA,"f",1,"1c0ser",TRUE,187,TRUE
"188","Loring, Mr. Joseph Holland",30,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,188,TRUE
"189","Madill, Miss Georgette Alexandra",16,"S","1classPass","2",NA,"f",1,"1c0ser",TRUE,189,TRUE
"190","Maguire, Mr. John Edward",30,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,190,TRUE
"191","Maréchal, Mr. Pierre, Sr.",28,"C","1classPass","7",NA,"m",1,"1c0ser",TRUE,191,TRUE
"192","Marvin, Mr. Daniel Warner",18,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,192,TRUE
"193","Marvin, Mrs. Mary Graham Carmichael (née Farquarson)",18,"S","1classPass","10",NA,"f",1,"1c0ser",TRUE,193,TRUE
"194","Mayné, Miss Bertha Antonine",24,"C","1classPass","6",NA,"f",1,"1c0ser",TRUE,194,TRUE
"195","McCaffry, Mr. Thomas Francis",46,"S","1classPass",NA,"292MB","m",1,"1c0ser",FALSE,195,TRUE
"196","McCarthy, Mr. Timothy J.",54,"S","1classPass",NA,"175MB","m",1,"1c0ser",FALSE,196,TRUE
"197","McGough, Mr. James Robert",35,"S","1classPass","7",NA,"m",1,"1c0ser",TRUE,197,TRUE
"198","Meyer, Mr. Edgar Joseph",28,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,198,TRUE
"199","Meyer, Mrs. Leila (née Saks)",25,"C","1classPass","6",NA,"f",1,"1c0ser",TRUE,199,TRUE
"200","Millet, Mr. Francis Davis",63,"C","1classPass",NA,"249MB","m",1,"1c0ser",FALSE,200,TRUE
"201","Minahan, Dr. William Edward",44,"S","1classPass",NA,"230MB","m",1,"1c0ser",FALSE,201,TRUE
"202","Minahan, Mrs. Lillian E. (née Thorpe)",37,"S","1classPass","14",NA,"f",1,"1c0ser",TRUE,202,TRUE
"203","Minahan, Miss Daisy E.",33,"S","1classPass","14",NA,"f",1,"1c0ser",TRUE,203,TRUE
"204","Mock, Mr. Philipp Edmund",30,"C","1classPass","11",NA,"m",1,"1c0ser",TRUE,204,TRUE
"205","Molson, Mr. Harry Markland",55,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,205,TRUE
"206","Natsch, Mr. Charles",36,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,206,TRUE
"207","Newell, Mr. Arthur Webster",58,"C","1classPass",NA,"122MB","m",1,"1c0ser",FALSE,207,TRUE
"208","Newell, Miss Madeleine",31,"C","1classPass","6",NA,"f",1,"1c0ser",TRUE,208,TRUE
"209","Newell, Miss Marjorie Anne",23,"C","1classPass","6",NA,"f",1,"1c0ser",TRUE,209,TRUE
"210","Newsom, Miss Helen Monypeny",19,"S","1classPass","5",NA,"f",1,"1c0ser",TRUE,210,TRUE
"211","Nicholson, Mr. Arthur Ernest",64,"S","1classPass",NA,"263MB","m",1,"1c0ser",FALSE,211,TRUE
"212","Nourney, Mr. Alfred",20,"C","1classPass","7",NA,"m",1,"1c0ser",TRUE,212,TRUE
"213","Omont, Mr. Alfred Fernand",29,"C","1classPass","7",NA,"m",1,"1c0ser",TRUE,213,TRUE
"214","Ostby, Mr. Engelhart Cornelius",64,"S","1classPass",NA,"234MB","m",1,"1c0ser",FALSE,214,TRUE
"215","Ostby, Miss Helene Ragnhild",22,"S","1classPass","5",NA,"f",1,"1c0ser",TRUE,215,TRUE
"216","Ovies y Rodriguez, Mr. Servando José Florentino",36,"C","1classPass",NA,"189MB","m",1,"1c0ser",FALSE,216,TRUE
"217","Parr, Mr. William Henry Marsh",29,"B","1classPass",NA,NA,"m",1,"1c0ser",FALSE,217,TRUE
"218","Partner, Mr. Austin",40,"S","1classPass",NA,"166MB","m",1,"1c0ser",FALSE,218,TRUE
"219","Pears, Mr. Thomas Clinton",29,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,219,TRUE
"220","Pears, Mrs. Edith (née Wearne)",22,"S","1classPass","8",NA,"f",1,"1c0ser",TRUE,220,TRUE
"221","Peñasco y Castellana, Mr. Victor",24,"C","1classPass",NA,NA,"m",1,"1c0ser",FALSE,221,TRUE
"222","Peuchen, Major Arthur Godfrey",52,"S","1classPass","6",NA,"m",1,"1c0ser",TRUE,222,TRUE
"223","Porter, Mr. Walter Chamberlain",46,"S","1classPass",NA,"207MB","m",1,"1c0ser",FALSE,223,TRUE
"224","Potter, Mrs. Lily Alexenia (née Wilson)",56,"C","1classPass","7",NA,"f",1,"1c0ser",TRUE,224,TRUE
"225","Reuchlin, The Honourable Mr. Johan George",38,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,225,TRUE
"226","Rheims, Mr. George Alexander Lucien",36,"S","1classPass","A",NA,"m",1,"1c0ser",TRUE,226,TRUE
"227","Roebling, Mr. Washington Augustus II",31,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,227,TRUE
"228","Romaine, Mr. Charles Hallance (alias C. Rolmane)",45,"S","1classPass","9",NA,"m",1,"1c0ser",TRUE,228,TRUE
"229","Rood, Mr. Hugh Roscoe",38,"S","1classPass",NA,NA,"m",1,"1c0ser",FALSE,229,TRUE
"230","Rosenbaum, Miss Edith Louise",34,"C","1classPass","11",NA,"f",1,"1c0ser",TRUE,230,TRUE
"231","Rosenshine, Mr. George (alias George Thorne)",46,"C","1classPass",NA,"16MB","m",1,"1c0ser",FALSE,231,TRUE
